YearMonth,Jalisco-Jalisco_precio_frec_mean,25015,25116,25037,14066,14132
2006-11,2.7,0,-1.93,-0.25,0.17,0.61
2006-12,3,-0.01,-2.03,-0.27,0.19,0.63
2007-01,3.2,0.01,-2.19,-0.06,0.24,0.64
2007-02,3.5,-0.48,-2.53,-0.37,0.23,0.61
2007-03,3.5,-0.48,-2.52,-0.38,0.22,0.6
2007-04,3.5,-0.48,-2.52,-0.39,0.24,0.63
2007-05,3.3,-0.48,-2.55,-0.42,0.25,0.65
2007-06,3.275,-0.48,-2.53,-0.27,0.32,0.85
2007-07,3.075,-0.95,-2.93,-0.17,0.41,0.62
2007-08,3.16,-0.44,-2.9,0.45,0.18,0.68
2007-09,3.1,0.27,-1.95,0.84,0.5,1.14
2007-10,3.36,0.12,-1.89,0.57,0.54,1.04
2007-11,3.325,0.26,-1.81,0.61,0.62,1.1
2007-12,3.225,0.38,-1.59,0.79,0.65,1.09
2008-01,2.977777778,0.38,-1.65,0.77,0.64,1.08
2008-02,3.05,0.37,-1.59,0.77,0.66,1.08
2008-03,3.2,0.37,-1.59,0.78,0.66,1.07
2008-04,3.425,0.37,-1.59,0.78,0.67,1.08
2008-05,3.6,0.37,-1.62,0.76,0.7,1.08
2008-06,3.5,0.29,-1.6,0.74,1.12,0.94
2008-07,3.822222222,0.01,-1.21,1.06,1.67,0.98
2008-08,4,1.04,-0.28,0.74,0.93,0.69
2008-09,4,1.18,1.1,0.98,1.15,0.73
2008-10,3.92,0.62,1.15,0.31,0.68,0.69
2008-11,3.8,0.62,1.15,0.31,0.64,0.62
2008-12,3.85,0.58,1.18,0.36,0.62,0.56
2009-01,3.725,0.52,1.16,0.15,0.57,0.57
2009-02,3.65,0.47,1.14,0.15,0.55,0.52
2009-03,3.5,0.48,1.14,0.15,0.55,0.52
2009-04,3.62,0.48,1.14,0.15,0.56,0.51
2009-05,3.5,0.48,1.11,0.12,0.73,0.62
2009-06,3.5,0.59,1.25,0.17,0.65,0.45
2009-07,3.5,1.1,1.52,0.07,-0.15,0.2
2009-08,3.5,0.69,1.57,-0.06,-0.45,0.07
2009-09,3.5,-0.09,1.19,-0.76,-0.69,0.22
2009-10,3.45,0.41,1.53,0.2,-0.85,0.31
2009-11,3.5,0.31,1.5,0.19,-0.93,0.28
2009-12,3.5,0.22,1.42,0.15,-0.86,0.29
2010-01,3.525,0.28,1.43,0.15,-0.65,0.49
2010-02,3.6,0.47,1.48,0.22,-0.11,0.51
2010-03,3.6,0.47,1.49,0.23,-0.1,0.51
2010-04,3.6,0.48,1.49,0.23,-0.09,0.52
2010-05,3.575,0.48,1.44,0.21,0.13,0.63
2010-06,3.6,0.46,1.42,0.15,-0.12,0.71
2010-07,3.45,0.35,1.47,-0.35,-0.17,0.99
2010-08,3.525,-0.63,1,-0.5,-0.14,0.96
2010-09,3.6,-0.4,0.64,-0.5,-0.07,0.74
2010-10,3.8,-0.53,0.49,-0.65,-0.23,0.52
2010-11,4,-0.52,0.5,-0.65,-0.22,0.53
2010-12,4,-0.51,0.51,-0.63,-0.21,0.51
2011-01,4,-0.5,0.5,-0.62,-0.22,0.47
2011-02,4.375,-0.46,0.49,-0.6,-0.18,0.47
2011-03,5.16,-0.47,0.5,-0.62,-0.18,0.47
2011-04,5.3,-0.47,0.5,-0.63,-0.16,0.47
2011-05,5.35,-0.47,0.44,-0.66,-0.25,0.49
2011-06,5.46,-0.65,0.26,-0.87,-0.23,0.58
2011-07,5.7,-0.21,-0.03,-0.47,0.05,1.16
2011-08,5.6,-0.15,-0.02,-0.52,0.29,1.1
2011-09,5.5,-0.09,-0.06,-0.15,0.02,0.58
2011-10,5.575,-0.66,-0.64,-1.17,0.06,0.61
2011-11,5.6,-0.59,-0.45,-0.94,0.06,0.61
2011-12,5.7,-0.62,-0.5,-0.94,0,0.57
2012-01,5.8,-0.66,-0.54,-0.94,-0.17,0.38
2012-02,5.8,-0.82,-0.63,-0.97,-0.26,0.64
2012-03,5.8,-0.83,-0.63,-1.01,-0.25,0.64
2012-04,5.8,-0.84,-0.63,-1.03,-0.23,0.65
2012-05,5.8,-0.84,-0.67,-1.06,-0.41,0.6
2012-06,5.5,-0.84,-0.63,-0.73,-1.01,0.18
2012-07,5.175,-0.47,-0.8,-0.27,-1.36,-0.05
2012-08,5.2,-0.31,-0.31,-0.05,-0.6,-0.01
2012-09,5.2,-0.7,-0.73,-0.26,-0.561583706,-0.46
2012-10,5.4,-0.42,-0.55,-0.09,-0.396990345,-0.39
2012-11,5.3,-0.41,-0.53,-0.08,-0.398494601,-0.38
